Source,Publisher,Year
Molecular Cellular Proteomics,,2005
Nature,,2002
Nature protocols,,2006
Analytical Chemistry,,1994
Nature methods,,2007
Molecular systems biology,,2011
Nature biotechnology,,2003
Genes development,,2002
Nature biotechnology,,2004
Nature,,2002
Cell,,1998
Nature,,1998
Cell,,2007
Analytical Chemistry,,1989
Molecular cell,,1999
Nature,,1997
Nature genetics,,2000
Nature protocols,,2009
Cell,,2008
Molecular Cellular Proteomics 10 9 M111,,2011
Nature biotechnology,,2007
Nature reviews Molecular cell biology,,2014
Molecular Cellular Proteomics 10 10 M111,,2011
Cell,,2010
Genome biology 7 9 R,,2006
Nature methods,,2014
Science,,2005
Rapid Communications in Mass Spectrometry,,1997
Nature,,1997
Cell,,1997
Molecular systems biology,,2005
Annual review of biochemistry,,2011
Cell,,2005
Proceedings of the National Academy of Sciences,,2001
Proceedings of the National Academy of Sciences,,2003
Nature genetics,,1998
Methods,,2003
Molecular cell,,2008
Molecular Cellular Proteomics 11 3 M111,,2012
Cell,,1997
Nature reviews Molecular cell biology,,2010
Cell,,2010
Nature,,2016
Journal of proteome research,,2003
Nature,,2001
Nature,,1997
Proceedings of the National Academy of Sciences,,2000
Cell,,2006
Genes development,,1999
Molecular cellular proteomics,,2009
Nature methods,,2010
Journal of proteome research,,2011
Journal of Biological Chemistry,,1995
Genome biology 8 11 R,,2007
Cell,,2010
Molecular biology of the cell,,2000
Molecular Cellular Proteomics,,2002
Immunity,,2010
Cell,,2007
Cell reports,,2014
Molecular cell,,2003
The EMBO journal,,1999
Cell,,2015
Nature methods,,2010
Journal of Neuroscience,,2000
Journal of proteome research,,2009
Current Biology,,2002
BMC genomics,,2008
Nature methods,,2004
Blood,,2006
Proceedings of the National Academy of Sciences,,2008
Genes development,,2000
Annual review of pharmacology and toxicology,,2009
The Journal of cell biology,,2010
Molecular and cellular biology,,1999
Science,,2012
Sci Signal 2 72 ra24 ra,,2009
Molecular and cellular biology,,2001
The EMBO journal,,2002
Nature,,2001
2 D proteome analysis protocols,,1999
Molecular cellular proteomics,,2013
Sci Signal 4 164 rs3 rs,,2011
Molecular Cellular Proteomics,,2009
Science,,1998
Molecular Cellular Proteomics,,2007
Molecular cellular proteomics,,2008
Rapid Communications in Mass Spectrometry,,1996
Nature,,2006
The Journal of cell biology,,1998
Molecular biology of the cell,,2005
Proceedings of the National Academy of Sciences,,2004
Cell,,2005
Analytical chemistry,,1996
Analytical chemistry,,2001
Molecular Cellular Proteomics 11 3 M111,,2012
Genome biology 7 8 R,,2006
Nature,,2011
Genome biology 7 5 R,,2006
The Journal of cell biology,,1998
The EMBO journal,,1998
The Journal of cell biology,,2010
Journal of Biological Chemistry,,2004
Molecular Cellular Proteomics 11 3 O111,,2012
Nucleic acids research 39 suppl_1 D253 D,,2010
Genome biology 7 6 R,,2006
Cell,,2010
Nature cell biology,,2006
Molecular systems biology,,2010
Molecular Cellular Proteomics,,2002
Analytical chemistry,,1997
Nature,,2007
Science,,2009
Molecular cellular proteomics 10 8 M110,,2011
Zeitschrift für Physik D Atoms Molecules and Clusters 10 2 3,,1988
The EMBO journal,,2011
Molecular Cellular Proteomics,,2006
BMC bioinformatics 13 16 S,,2012
Analytical chemistry,,1999
Nature,,2002
Molecular Cellular Proteomics,,2008
Molecular Cellular Proteomics,,2006
Nature cell biology,,2013
Molecular cell,,2013
Current biology,,2007
Cell,,2004
Cell metabolism,,2011
Molecular Cellular Proteomics,,2009
The Journal of cell biology,,1999
Organic Mass Spectrometry,,1990
Molecular cellular proteomics,,2008
Journal of chromatography A 979 1 2,,2002
Current Biology,,1997
Molecular cell,,2011
The Journal of cell biology,,1998
Nature,,2012
Molecular cell,,2009
Trends in biochemical sciences,,1995
elife,,2016
The Journal of cell biology,,2000
Journal of proteome research,,2009
Nature methods,,2006
The EMBO journal,,1996
Cell,,2013
Proceedings of the National Academy of Sciences,,2008
The Journal of cell biology,,2001
Proceedings of the National Academy of Sciences,,1996
The EMBO journal,,1998
Nature neuroscience,,2015
Journal of Biological Chemistry,,2002
Nature protocols,,2011
Molecular Cellular Proteomics,,2005
Nature structural molecular biology,,2014
Molecular Cellular Proteomics,,2007
Cell,,1997
Journal of Biological Chemistry,,2004
Nature methods,,2008
Cell,,2015
Molecular cell,,2010
Journal of proteome research,,2008
Biochemical Society Transactions,,1996
Nature communications,,2016
Rna,,1998
The Journal of cell biology,,2006
Proceedings of the National Academy of Sciences,,1997
Journal of proteome research,,2010
Trends in biochemical sciences,,2002
Analytical chemistry,,2000
Journal of proteome research,,2006
Molecular systems biology,,2012
Stem Cells,,2005
Cell 167 3 829 842,,2016
Cell Biology,,2006
Molecular Cellular Proteomics,,2010
Molecular cell,,2012
Journal of Biological Chemistry,,2002
The EMBO journal,,2000
Rna,,2004
Proceedings of the National Academy of Sciences,,2000
EMBO reports,,2006
PLoS genetics,,2014
The EMBO journal,,1998
Cell,,2001
The EMBO journal,,1998
Nature biotechnology,,2015
Molecular Cellular Proteomics,,2006
Journal of proteome research,,2011
Molecular Cellular Proteomics,,2014
Biological mass spectrometry,,1994
Molecular cell,,2008
Molecular systems biology,,2012
PLoS pathogens,,2008
Analytical chemistry,,2012
Proceedings of the National Academy of Sciences,,2009
Molecular Cellular Proteomics,,2007
Science,,1999
The EMBO Journal,,1999
Journal of the American Society for Mass Spectrometry,,1994
Molecular Cellular Proteomics,,2005
Science,,2016
Molecular cellular proteomics,,2014
Neuron,,2004
Journal of proteome research,,2007
Journal of proteome research,,2010
Molecular Cellular Proteomics,,2009
Oecologia,,2005
Proteomics 8 23 24,,2008
FEBS letters,,2000
The EMBO journal,,2007
Journal of mass spectrometry,,2001
PROTEOMICS International Edition,,2001
ELECTROPHORESIS An International Journal,,1999
Journal of proteome research,,2011
Journal of proteome research,,2010
Molecular Cellular Proteomics,,2015
Cold Spring Harbor perspectives in biology 2 7 a,,2010
Cell systems,,2016
Biochemical Journal,,2003
Journal of proteome research,,2011
Journal of Biological Chemistry,,2002
Cell metabolism,,2009
Molecular cell,,2012
Traffic,,2007
Molecular and cellular biology,,2003
Rna,,1998
Current opinion in biotechnology,,2008
Genome research,,2009
Nature biotechnology,,2008
The EMBO journal,,1998
Nature communications,,2016
FEBS letters,,2009
Molecular Cellular Proteomics,,2012
Molecular Cellular Proteomics,,2008
Journal of proteome research,,2008
Proteomics,,2008
Genes development,,2006
Analytical chemistry,,1999
Acta neuropathologica,,2014
Sci Signal 4 178 rs4 rs,,2011
Nature methods,,2011
Genes development,,2000
Journal of Experimental Medicine,,1998
Journal of Biological Chemistry,,1996
Nature Cell Biology,,2000
Molecular biology of the cell,,1997
Nature biotechnology,,2015
Developmental cell,,2010
Journal of Biological Chemistry,,2000
Molecular Cellular Proteomics,,2013
Proteomics,,2008
Current opinion in biotechnology,,1996
Sci STKE 2000 37 pl1 pl,,2000
Molecular cell,,2003
Journal of Biological Chemistry,,2002
Molecular cell,,2010
Proceedings of the National Academy of Sciences,,2009
Cell host microbe,,2009
Trends in Endocrinology Metabolism,,2015
Journal of molecular biology,,2001
Mass spectrometry of proteins and peptides,,2000
Rna,,1995
Trends in biochemical sciences,,2001
Analytical chemistry,,2003
Nature biotechnology,,1999
Journal of Biological Chemistry,,2002
Genes development,,2002
Science,,2013
Analytical biochemistry,,2011
Nucleic acids research,,2006
Molecular Cellular Proteomics 11 3 O111,,2012
Molecular systems biology,,2010
Journal of Biological Chemistry,,2000
Current opinion in structural biology,,1998
Journal of protein chemistry,,1997
Oncogene,,2002
The Journal of cell biology,,1997
PROTEOMICS Clinical Applications 7 3 4,,2013
Journal of proteome research,,2006
The EMBO journal,,1998
Molecular Cellular Proteomics,,2015
Molecular Cellular Proteomics,,2009
Proceedings of the National Academy of Sciences,,2009
Nature biotechnology,,2007
Molecular Cellular Proteomics 11 3 M111,,2012
Molecular Cellular Proteomics,,2004
Nature biotechnology,,2013
Cell,,2012
Molecular Cellular Proteomics,,2015
Nucleic acids research,,2007
Journal of virology,,1996
Nature communications,,2016
BMC medical genomics,,2008
Molecular and cellular biology,,2004
Analytical Chemistry,,1997
Molecular cell,,2013
Journal of proteome research,,2010
Molecular Cellular Proteomics,,2007
Nucleic acids research 34 suppl_1 D218 D,,2006
The EMBO Journal,,2002
US Patent 5,,1997
Molecular Cellular Proteomics,,2009
Proceedings of the National Academy of Sciences,,2010
Molecular Cellular Proteomics,,2008
Journal of the American Society for Mass Spectrometry,,2002
Elife,,2016
Proteome science,,2011
Journal of Biological Chemistry,,2004
Molecular biotechnology,,2002
Rapid communications in mass spectrometry,,1993
Journal of Biological Chemistry,,1999
Developmental biology,,1994
Cancer research,,2012
The Journal of cell biology,,2009
Microbiology,,2000
The EMBO Journal,,1997
Proteomics,,2008
US Patent 5,,1996
Molecular Cellular Proteomics,,2013
Molecular cell,,2008
Journal of proteome research,,2007
Proteomics,,2009
Nature structural molecular biology,,2010
The EMBO journal,,2000
2 D Proteome Analysis Protocols,,1999
Proteome Science,,2008
Molecular Cellular Proteomics 10 2 M110,,2011
Electrophoresis,,1994
Cell metabolism,,2017
Methods,,2011
Journal of Biological Chemistry,,2009
Journal of Biological Chemistry,,2002
PloS one,,2011
Journal of Biological Chemistry,,2000
Stroke 21 11 Suppl III,,1990
Molecular Cellular Proteomics,,2014
Molecular cellular proteomics,,2013
Molecular Cellular Proteomics,,2003
PLoS genetics,,2010
Molecular cell,,2014
Nature medicine,,2016
Proceedings of the National Academy of Sciences 113 12 E1673,,2016
Methods,,2006
Integrin and cell adhesion molecules,,2011
Dallas TX,,1999
Rapid communications in mass spectrometry,,1996
Molecular systems biology,,2017
Journal of the American Society for Mass Spectrometry,,2007
Trends in cell biology,,1997
Nature communications,,2015
Molecular Cellular Proteomics,,2015
Proteomics,,2015
Cell reports,,2013
Molecular cellular proteomics 11 3 M111,,2012
Journal of Biological Chemistry,,2000
Nature biotechnology,,2008
Proteomics,,2007
The EMBO journal,,2000
Trends in biochemical sciences,,1996
Nature communications,,2014
Science,,2015
EMBO reports,,2015
International Journal of Mass Spectrometry,,2003
Molecular Cellular Proteomics,,2010
Nucleic acids research,,2007
Journal of the American Society for Mass Spectrometry,,2011
Arthritis Rheumatism Official Journal of the American College of,,2010
Journal of proteome research,,2008
Journal of Experimental Medicine,,1999
Nature immunology,,2017
Journal of Experimental Medicine,,2012
Journal of virology,,2003
Journal of proteome research,,2012
Diabetes,,2016
Cell metabolism,,2014
Nature immunology,,2014
PloS one,,2009
Rna,,2008
FEBS letters 376 1 2,,1995
Molecular cell,,2015
Journal of the American Society for Mass Spectrometry,,2009
Nucleic acids research 35 suppl_1 D771 D,,2006
Journal of the American Society for Mass Spectrometry,,1996
PLoS genetics,,2012
Electrophoresis,,1996
Nature communications,,2016
Cell reports,,2013
Molecular Cellular Proteomics,,2013
Journal of proteomics,,2010
Cancer research,,1999
Proteome science,,2012
Molecular Cellular Proteomics 11 3 O112,,2012
Chembiochem,,2011
Journal of proteome research,,2007
Molecular cell,,2006
Journal of Biological Chemistry,,2002
Proteome Science,,2008
Elife,,2014
Molecular Cellular Proteomics,,2008
Virology,,2005
Journal of the American Society for Mass Spectrometry,,2001
The Journal of cell biology,,2000
Nature communications,,2015
Molecular biology of the cell,,2001
Genome medicine,,2016
Nature methods,,2009
Nature methods,,2009
Nature methods,,2007
Nature chemical biology,,2015
FEBS letters 528 1 3,,2002
Journal of Biological Chemistry,,2000
Molecular Cellular Proteomics,,2003
Elife,,2017
Molecular systems biology,,2016
Nucleic acids research,,2012
Nature cell biology,,2011
EMBO reports,,2010
Nature cell biology,,2016
The American Journal of Human Genetics,,2013
Journal of proteome research,,2009
Journal of proteome research,,2008
Molecular systems biology,,2011
Science Signaling 2002 154 pl16 pl,,2002
Molecular systems biology,,2015
Immunity,,2015
Molecular Cellular Proteomics,,2012
Journal of proteome research,,2011
Molecular cell,,2016
Plant physiology,,2014
Molecular biology of the cell,,2013
PLoS One,,2011
Oncogene,,2002
Protein Science,,2001
Genome research,,2013
Molecular Cellular Proteomics,,2013
Molecular Cellular Proteomics 11 3 M111,,2012
Electrophoresis,,1998
EMBO molecular medicine,,2015
Stable Isotope Labeling by Amino Acids in Cell Culture SILAC,,2014
PLoS genetics,,2009
Journal of Biological Chemistry,,2001
European journal of clinical nutrition,,2011
Journal of Biological Chemistry,,2001
US Patent 5,,1992
Phys,"D 10, 361-368,",
Genome research,,2013
The EMBO journal,,2013
The EMBO journal,,2012
Journal of proteome research,,2015
The EMBO journal,,2013
Cell metabolism,,2011
Bioinformatics,,2010
Methods in enzymology,,2005
Proceedings of the National Academy of Sciences,,1999
Journal of Biological Chemistry,,1997
Electrophoresis,,1997
Mitochondrion,,2014
Biochemistry,,1999
Elife,,2014
Proceedings of the National Academy of Sciences,,2013
BMC cell biology,,2004
Biochemistry,,2000
Molecular cellular proteomics,,2014
J Cell Sci,,2012
Journal of proteome research,,2002
Rapid Communications in Mass Spectrometry,,1990
European urology,,2016
Nature cell biology,,2016
Cell reports,,2014
Frontiers in immunology,,2012
Analytical chemistry,,2002
Journal of Neuroscience,,2001
The EMBO journal,,2013
Molecular Cellular Proteomics 10 11 M111,,2011
US Patent 6,,2004
Virology,,2000
Molecular Cellular Proteomics,,2017
Molecular Cellular Proteomics,,2013
Molecular microbiology,,2009
PROCEEDINGS OF THE ASMS CONFERENCE ON MASS SPECTROMETRY AND ALLIED TOPICS,,1995
Nature neuroscience,,2016
Brain research,,2007
Journal of protein chemistry,,1997
Molecular Cellular Proteomics,,2012
Nucleic acids research,,2012
US Patent App 10,,2004
Journal of proteome research,,2015
The EMBO journal,,2014
PLoS computational biology,,2013
Journal of proteome research,,2012
Journal of proteome research,,2010
Journal of proteomics,,2010
Laboratory investigation,,2001
Nature communications,,2017
Cell systems,,2016
Gastroenterology,,2015
Journal of proteome research,,2014
Journal of Experimental Medicine,,2014
Clinical proteomics,,2012
Journal of Biological Chemistry,,2000
Current genetics,,2000
Virology,,1999
Cell reports,,2017
Molecular Cellular Proteomics,,2015
Proteins Structure Function and Bioinformatics,,2008
Journal of Biological Chemistry,,2002
Nature methods,,2018
Journal of proteome research,,2008
European journal of biochemistry,,1996
Molecular Cellular Proteomics,,2014
Blood,,2012
Journal of proteome research,,2009
Journal of Mass Spectrometry,,2001
Cell reports,,2015
Journal of proteome research,,2013
Journal of Biological Chemistry,,2012
Genes development,,2016
Journal of Experimental Medicine,,2015
Molecular cellular proteomics,,2014
World s poultry science journal,,2008
Journal of proteome research,,2015
Nature communications,,2015
Molecular Cellular Proteomics,,2008
Sci Signal 7 335 rs5 rs,,2014
Proceedings of the National Academy of Sciences,,2011
Trends in ecology evolution,,2007
J Cell Biol,,2016
Proceedings of the National Academy of Sciences,,2014
Molecular biology of the cell,,2014
Proteome science,,2013
Journal of the American Society for Mass Spectrometry,,2008
Bioinformatics 24 13 i416 i,,2008
Letters in Peptide Science,,1997
Mitochondrion,,2017
Nature structural molecular biology,,2015
Proteome science,,2010
Journal of proteome research,,2006
Journal of Experimental Medicine,,2018
American journal of respiratory and critical care medicine,,2017
Human molecular genetics 25 R2 R106 R,,2016
Blood,,2015
Biochemistry,,1996
Genes development,,2017
Molecular Cellular Proteomics,,2013
Current protocols in protein science 46 1 14 9 1 14 9,,2006
TRENDS in Biotechnology 19 10 S1 S,,2001
A supplement published by Elsevier Science London and distributed with,,2000
Journal of mass spectrometry,,1997
Bioorganic medicinal chemistry,,1996
Anal Chem,,1994
Molecular Cellular Proteomics,,2018
Nature structural molecular biology,,2012
Journal of proteome research,,2009
Journal of Radioanalytical and Nuclear Chemistry,,2008
Nature communications,,2016
Bone,,2015
EMBO reports,,2015
Stable isotope labeling by amino acids in cell culture SILAC,,2014
Journal of proteome research,,2012
Centrosomes in development and disease,,2004
Biochemical Journal,,2018
EBioMedicine,,2016
Molecular biology of the cell,,2014
Molecular systems biology,,2017
EMBO molecular medicine,,2014
Cell reports,,2013
Current Biology,,2008
US Patent 6,,2005
Genome biology 3 8 comment2008,,2002
Journal of Biological Chemistry,,2000
Bioinformatics,,2015
Molecular Cellular Proteomics,,2015
Transfusion clinique et biologique,,2010
Molecular cellular proteomics,,2008
Nature,,2002
TRENDS in Genetics,,2001
Science 360 6395 eaao,,2018
Journal of proteome research,,2016
Handbook of systems biology concepts and insights,,2013
Bioorganic Medicinal Chemistry Letters,,1995
Nature Reviews Molecular Cell Biology,,2016
Cell reports,,2015
US Patent 7,,2011
Nucleic acids research 37 suppl_1 D902 D,,2008
Journal of nephrology,,2007
Journal of the American Society for Mass Spectrometry,,2002
Molecular and cellular biology,,1999
International Journal of Mass Spectrometry,,2017
Nucleic acids research,,2014
US Patent 5,,1997
Microcharacterization of Proteins,,1994
Techniques in protein chemistry,,1994
Circadian clocks,,2013
Sci Signal 4 160 pe7 p,,2011
Methods in Molecular Biology,,1999
Journal of the Chemical Society Perkin Transactions,,1997
Aktuelle Arbeiten zur artgemäßen Tierhaltung,,1987
Nature cell biology,,2016
Nature Methods,,2009
Anticancer research 28 5A,,2008
Journal of proteome research,,2007
Nature methods,,2018
Cell reports,,2017
Proteome science,,2015
BMC biology,,2014
